base_date,date,etf_code,etf_name,etf_type,base_index,cu_size,listing_date,delisting_date,mktcap,close,ret,nav,disparity,shares_out,num_cu,cu_value
20260702,20260706,A0101N0,RISE AI전력인프라,일반,KRX-Akros AI 전력인프라 지수,50000.0,20250923,,674406.0,21720.0,-2.49,21660.97,0.27,31050000.0,621.0,1083048500.0
20260702,20260707,A0101N0,RISE AI전력인프라,일반,KRX-Akros AI 전력인프라 지수,50000.0,20250923,,635536.0,20240.0,-6.81,20321.62,-0.4,31400000.0,628.0,1016081000.0
20260702,20260708,A0101N0,RISE AI전력인프라,일반,KRX-Akros AI 전력인프라 지수,50000.0,20250923,,582454.0,18520.0,-8.5,18664.79,-0.78,31450000.0,629.0,933239500.0
20260702,20260709,A0101N0,RISE AI전력인프라,일반,KRX-Akros AI 전력인프라 지수,50000.0,20250923,,576076.5,18405.0,-0.62,18624.45,-1.18,31300000.0,626.0,931222500.0
20260702,20260703,A0103T0,1Q K소버린AI,일반,iSelect K소버린AI 지수,50000.0,20250930,,24300.0,8100.0,-1.1,8115.47,-0.19,3000000.0,60.0,405773500.0
20260702,20260706,A0103T0,1Q K소버린AI,일반,iSelect K소버린AI 지수,50000.0,20250930,,24120.0,8040.0,-0.74,8071.36,-0.39,3000000.0,60.0,403568000.0
20260702,20260707,A0103T0,1Q K소버린AI,일반,iSelect K소버린AI 지수,50000.0,20250930,,23985.0,7995.0,-0.56,8090.46,-1.18,3000000.0,60.0,404523000.0
20260702,20260708,A0103T0,1Q K소버린AI,일반,iSelect K소버린AI 지수,50000.0,20250930,,23400.0,7800.0,-2.44,7787.24,0.16,3000000.0,60.0,389362000.0
20260702,20260709,A0103T0,1Q K소버린AI,일반,iSelect K소버린AI 지수,50000.0,20250930,,22785.0,7595.0,-2.63,7577.53,0.23,3000000.0,60.0,378876500.0
20260702,20260703,A0104G0,PLUS K방산레버리지,레버리지,FnGuide K-방위산업 레버리지 (2x) 지수,50000.0,20250930,,23147.5,9850.0,7.36,9773.88,0.78,2350000.0,47.0,488693999.99999994
20260702,20260706,A0104G0,PLUS K방산레버리지,레버리지,FnGuide K-방위산업 레버리지 (2x) 지수,50000.0,20250930,,23711.5,10090.0,2.44,10194.58,-1.03,2350000.0,47.0,509729000.0
20260702,20260707,A0104G0,PLUS K방산레버리지,레버리지,FnGuide K-방위산업 레버리지 (2x) 지수,50000.0,20250930,,19939.75,8485.0,-15.91,8639.27,-1.79,2350000.0,47.0,431963500.0
