,Account,W200300,R102300,W202100,W200100,S102100,S102100,S102100,S102100,S102100,S100100,S100100,S100100,S100100,S100100,S100500,S100500,S100500,S100500,S100500,W201100,W201100,W201100,W201100,W201100,W201200,W201200,W201200,W201200,W201200,S101500,S101500,S101500,S101500,S101500,W402600,,,,,
,Period, ,,, ,20260626,20260629,20260630,20260701,20260702,20260626,20260629,20260630,20260701,20260702,20260626,20260629,20260630,20260701,20260702,20260626,20260629,20260630,20260701,20260702,20260626,20260629,20260630,20260701,20260702,20260626,20260629,20260630,20260701,20260702,20260626,num_cu_20260626,num_cu_20260629,num_cu_20260630,num_cu_20260701,num_cu_20260702
,Unit,Txt,Txt,Txt,Txt,Local mn,Local mn,Local mn,Local mn,Local mn,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,%,%,%,%,%,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,%,%,%,%,%,Shares,Shares,Shares,Shares,Shares,X,,,,,
,Base Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Name,상장일,상장폐지일,"ETF레버리지,인버스구분",ETF기초지수명,시가총액,시가총액,시가총액,시가총액,시가총액,종가,종가,종가,종가,종가,수정주가수익률,수정주가수익률,수정주가수익률,수정주가수익률,수정주가수익률,ETF순자산가치(NAV),ETF순자산가치(NAV),ETF순자산가치(NAV),ETF순자산가치(NAV),ETF순자산가치(NAV),ETF괴리율,ETF괴리율,ETF괴리율,ETF괴리율,ETF괴리율,상장주식수,상장주식수,상장주식수,상장주식수,상장주식수,CU구성좌수,,,,,
A0148J0,TIGER 코리아휴머노이드로봇산업,20260106,,일반,KEDI 코리아 휴머노이드로봇산업 지수 (PR),557123.5,614131.5,617863.75,609940.5,576114,9395,10210,10255,10090,9460,-7.16,8.67,0.44,-1.61,-6.24,9391.08,10181.36,10214.07,10058.07,9419.39,0.04,0.28,0.4,0.32,0.43,59300000,60150000,60250000,60450000,60900000,50000,1186,1203,1205,1209,1218
A0150K0,KoAct 수소전력ESS인프라액티브,20260113,,일반,FnGuide 수소전력ESS인프라 지수(PR),26620,29700,29273.75,31528.75,28201.5,9680,10800,10645,11465,10445,-7.41,11.57,-1.44,7.7,-8.9,9656.94,10800.25,10623.38,11358.28,10401.65,0.24,0,0.2,0.94,0.42,2750000,2750000,2750000,2750000,2700000,50000,55,55,55,55,54
A0151P0,RISE 코리아전략산업액티브,20260120,,일반,KAP 코리아전략산업지수,211775,208810.5,216720,216236.25,196560,19700,19515,20160,20115,18200,-4.44,-0.94,3.31,-0.22,-9.52,19631.86,19423.62,20089.49,20017.37,17890.38,0.35,0.47,0.35,0.49,1.73,10750000,10700000,10750000,10750000,10800000,50000,215,214,215,215,216
A0152E0,SOL 배당성향탑픽액티브,20260113,,일반,FnGuide 배당성향탑픽 지수(PR),28822.5,29497.5,29605.5,29835,29943,10675,10925,10965,11050,11090,-2.6,2.82,0.37,0.78,0.36,10615.21,10968.67,10929.48,11088.43,11131.52,0.56,-0.4,0.32,-0.35,-0.37,2700000,2700000,2700000,2700000,2700000,50000,54,54,54,54,54
A0153K0,KODEX 주주환원고배당주,20260120,,일반,Akros 주주환원 고배당 지수 (Price Return),151510,159433,158079,158976,164151,10900,11470,11455,11520,11895,-2.64,5.23,-0.13,0.57,3.26,10948.94,11459.51,11426.27,11553.76,11926.78,-0.45,0.09,0.25,-0.29,-0.27,13900000,13900000,13800000,13800000,13800000,100000,139,139,138,138,138
A0154F0,WON 초대형IB&금융지주,20260120,,일반,iSelect 초대형IB&금융지주 지수,35910,38004.75,38430,38745,38918.25,11400,12065,12200,12300,12355,-4.2,5.83,1.12,0.82,0.45,11414.48,12040.85,12147.02,12301.57,12360.47,-0.13,0.2,0.44,-0.01,-0.04,3150000,3150000,3150000,3150000,3150000,50000,63,63,63,63,63
A0155N0,HANARO K휴머노이드테마TOP10,20260226,,일반,iSelect K휴머노이드테마TOP10 지수,29431,31331,31781.75,32700,31400,7745,8245,8255,8175,7850,-6.63,6.46,0.12,-0.97,-3.98,7731.67,8232.55,8240.99,8160.72,7818.3,0.17,0.15,0.17,0.17,0.41,3800000,3800000,3850000,4000000,4000000,50000,76,76,77,80,80
A0162Y0,TIME 코스닥액티브,20260310,,일반,코스닥지수,328963.25,345759.75,360234,373297.75,336437.5,8855,9135,9530,9785,8750,-1.17,3.16,4.32,2.68,-10.58,8814.92,9140.47,9570.8,9816.1,8730.2,0.45,-0.06,-0.43,-0.32,0.23,37150000,37850000,37800000,38150000,38450000,50000,743,757,756,763,769
A0163Y0,KoAct 코스닥액티브,20260310,,일반,코스닥지수,526080.75,556053.75,575162.5,592849.5,536335.5,10245,10745,11125,11390,10110,-2.43,4.88,3.54,2.38,-11.24,10240.39,10774.34,11109.11,11378.71,10086.93,0.05,-0.27,0.14,0.1,0.23,51350000,51750000,51700000,52050000,53050000,50000,1027,1035,1034,1041,1061
A0166N0,PLUS 코스닥150액티브,20260317,,일반,코스닥 150,34049,36379.5,37801.5,38907.5,35700,8620,9210,9570,9850,8925,-3.63,6.84,3.91,2.93,-9.39,8629.61,9241.68,9530.42,9857.44,8880.29,-0.11,-0.34,0.42,-0.08,0.5,3950000,3950000,3950000,3950000,4000000,50000,79,79,79,79,80
